year,vmt,pop,pop16,vmtcap,vmtcap16,gdp,gdpcap,drivers,lirate,vehicles,vmtveh,vehcap,vehdriv,vehp16,fuel,fuelcap,pgas,mpg,pmile,roads,roadcap,lfp,pvehicle,psuburbs
1950,421114,152.3,108.091,2765,3896,1419,9314,62.193,0.575,46445,9067,0.305,0.747,0.43,29588,194,1.51,14.23,0.11,779997,5.12145,59.2,14973,0.232
1951,452357,154,108.92,2937,4153,1558,10119,64.443,0.592,49252,9185,0.32,0.764,0.452,31745,206,1.42,14.25,0.1,814448,5.28862,59.2,14813,0.239
1952,473090,157.6,109.708,3002,4312,1625,10310,66.825,0.609,50351,9396,0.319,0.753,0.459,33894,215,1.42,13.96,0.1,854669,5.42303,59,14697,0.245
1953,501793,160.2,110.617,3132,4536,1686,10521,69.87,0.632,53450,9388,0.334,0.765,0.483,35736,223,1.46,14.04,0.1,919185,5.73773,58.9,14602,0.252
1954,520363,163,111.879,3192,4651,1674,10269,71.897,0.643,55513,9374,0.341,0.772,0.496,37186,228,1.47,13.99,0.11,953975,5.85261,58.8,14485,0.259
1955,563366,165.9,113.329,3396,4971,1768,10659,74.686,0.659,59693,9438,0.36,0.799,0.527,40202,242,1.48,14.01,0.11,995786,6.00233,59.3,14375,0.266
1956,588505,168.9,114.595,3484,5136,1804,10679,77.659,0.678,62087,9479,0.368,0.799,0.542,42315,251,1.5,13.91,0.11,1041044,6.16367,60,14110,0.274
1957,601281,172,115.909,3496,5188,1838,10687,79.631,0.687,64377,9340,0.374,0.808,0.555,43905,255,1.5,13.7,0.11,1085422,6.31059,59.6,13870,0.282
1958,618196,174.9,117.311,3535,5270,1829,10458,81.537,0.695,65538,9433,0.375,0.804,0.559,45352,259,1.43,13.63,0.1,1138751,6.51087,59.5,13626,0.29
1959,651179,177.8,119.079,3662,5468,1929,10848,84.498,0.71,68652,9485,0.386,0.812,0.577,47783,269,1.43,13.63,0.1,1189599,6.69066,59.3,13403,0.298
1960,668353,180.7,121.143,3699,5517,1971,10906,87.253,0.72,70978,9416,0.393,0.813,0.586,49110,272,1.43,13.61,0.11,1230469,6.80946,59.4,13189,0.306
1961,686207,183.7,122.705,3735,5592,2024,11017,88.744,0.723,72842,9420,0.397,0.821,0.594,50255,274,1.4,13.65,0.1,1273240,6.93108,59.3,13093,0.312
1962,713736,186.5,124.098,3827,5751,2128,11411,90.588,0.73,75989,9393,0.407,0.839,0.612,52316,281,1.38,13.64,0.1,1314620,7.0489,58.8,12997,0.318
1963,744157,189.2,126.516,3933,5882,2216,11710,93.573,0.74,79595,9349,0.421,0.851,0.629,54462,288,1.35,13.66,0.1,1367153,7.22597,58.7,12907,0.324
1964,781931,191.9,128.679,4075,6077,2341,12197,95.468,0.742,83198,9398,0.434,0.871,0.647,57302,299,1.33,13.65,0.1,1406918,7.33152,58.7,12684,0.331
1965,819572,194.3,130.765,4218,6268,2471,12715,98.502,0.753,87443,9373,0.45,0.888,0.669,59976,309,1.35,13.66,0.1,1454600,7.48636,58.9,12884,0.337
1966,868894,196.6,132.667,4420,6549,2616,13307,100.998,0.761,91195,9528,0.464,0.903,0.687,64416,328,1.35,13.49,0.1,1481049,7.53331,59.2,12196,0.344
1967,904786,198.7,134.65,4554,6720,2685,13514,103.172,0.766,94252,9600,0.474,0.914,0.7,67080,338,1.35,13.49,0.1,1519345,7.64643,59.6,11537,0.351
1968,953164,200.7,136.864,4749,6964,2797,13936,105.41,0.77,97977,9728,0.488,0.929,0.716,71608,357,1.32,13.31,0.1,1573726,7.84119,59.6,11677,0.358
1969,996716,202.7,139.169,4917,7162,2873,14174,108.306,0.778,102580,9716,0.506,0.947,0.737,76258,376,1.29,13.07,0.1,1618060,7.98254,60.1,11453,0.365
1970,1042965,205.1,141.88,5085,7351,2874,14012,111.543,0.786,106279,9813,0.518,0.953,0.749,80193,391,1.25,13.01,0.1,1658421,8.08591,60.4,10538,0.372
1971,1107817,207.7,144.992,5334,7641,2956,14232,114.426,0.789,111243,9959,0.536,0.972,0.767,84907,409,1.23,13.05,0.09,1694972,8.16067,60.2,10477,0.379
1972,1182318,209.9,147.98,5633,7990,3107,14803,118.414,0.8,117270,10082,0.559,0.99,0.792,91459,436,1.18,12.93,0.09,1737458,8.27755,60.4,10314,0.386
1973,1228008,211.9,150.925,5795,8137,3269,15425,121.546,0.805,124439,9868,0.587,1.024,0.825,95600,451,1.19,12.85,0.09,1760918,8.31014,60.8,10049,0.393
1974,1195453,213.9,153.866,5589,7769,3248,15185,125.427,0.815,129157,9256,0.604,1.03,0.839,91849,429,1.47,13.02,0.11,1817829,8.4985,61.3,10070,0.401
1975,1240279,216,156.835,5742,7908,3222,14915,129.791,0.828,132088,9390,0.612,1.018,0.842,94463,437,1.44,13.13,0.11,1846360,8.54796,61.2,10277,0.408
1976,1310052,218,159.847,6009,8196,3381,15508,134.036,0.839,137423,9533,0.63,1.025,0.86,99977,459,1.41,13.1,0.11,1887212,8.65694,61.6,10645,0.416
