choice	area	users	inc	age0	age1	age2	age3	age4	age5	age6	age7	status	employ	cost1	cost2	cost3	cost4	cost5	avail1	avail2	avail3	avail4	avail5	ones
2	1	2	4	0	0	0	1	1	0	0	0	2	2	5.82	5.78	12.75	1000000	23.28	1	1	1	0	1	1
3	1	1	2	0	0	0	0	0	0	0	1	5	1	3.52	5.78	12.28	1000000	23.28	1	1	1	0	1	1
1	2	2	4	0	0	0	2	0	0	0	0	2	2	5.09	5.78	11.47	1000000	28.28	1	1	1	0	1	1
3	2	2	3	1	0	0	0	2	0	0	0	2	1	4.75	5.78	10.46	1000000	28.28	1	1	1	0	1	1
3	2	6	3	1	3	2	1	0	2	0	0	2	2	8.55	7.05	14.33	1000000	28.28	1	1	1	0	1	1
3	2	2	2	1	0	0	2	0	0	0	0	2	2	16.1	14.6	13.11	1000000	28.28	1	1	1	0	1	1
3	2	1	1	0	0	0	0	0	0	0	1	3	0	5.09	5.78	11.92	1000000	28.28	1	1	1	0	1	1
1	2	2	5	1	0	0	1	1	0	0	0	2	2	3.36	5.78	10.26	1000000	28.28	1	1	1	0	1	1
5	2	4	4	1	1	0	0	2	0	0	0	2	2	34.89	33.39	38.2	1000000	28.28	1	1	1	0	1	1
3	2	2	5	0	0	0	2	0	0	0	0	2	2	22.83	21.33	25.39	1000000	28.28	1	1	1	0	1	1
5	2	1	3	1	0	0	0	1	0	0	0	1	1	3.28	5.78	10.18	1000000	28.28	1	1	1	0	1	1
3	2	2	2	0	1	0	1	1	0	0	0	4	2	11.36	9.86	18.12	1000000	28.28	1	1	1	0	1	1
5	2	1	1	0	0	0	0	0	1	0	0	1	0	11.08	9.58	17.14	1000000	28.28	1	1	1	0	1	1
3	5	1	1	0	0	0	0	1	0	0	0	2	1	16.1	14.6	10.18	1000000	1000000	1	1	1	0	0	1
2	5	1	5	0	0	0	0	0	1	0	0	2	1	5.6	5.78	10.18	1000000	1000000	1	1	1	0	0	1
1	5	2	2	0	0	0	0	0	0	1	1	2	0	4.22	5.78	10.18	1000000	1000000	1	1	1	0	0	1
3	5	2	4	0	0	0	0	0	0	2	0	2	0	8.17	6.67	10.18	1000000	1000000	1	1	1	0	0	1
2	5	2	3	1	0	0	2	0	0	0	0	2	1	6.57	5.78	10.18	1000000	1000000	1	1	1	0	0	1
